entity_id,state,last_changed
input_number.omvormer_zolder_reductie,9.0,2026-04-08T10:55:00.000Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T10:55:00.455Z
input_number.omvormer_zolder_reductie,13.0,2026-04-08T10:55:10.454Z
input_number.omvormer_zolder_reductie,21.0,2026-04-08T10:55:20.457Z
input_number.omvormer_zolder_reductie,11.0,2026-04-08T10:55:30.479Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T10:55:40.458Z
input_number.omvormer_zolder_reductie,11.0,2026-04-08T10:55:50.455Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T10:56:00.470Z
input_number.omvormer_zolder_reductie,11.0,2026-04-08T10:56:10.454Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T10:56:20.454Z
input_number.omvormer_zolder_reductie,21.0,2026-04-08T10:56:40.465Z
input_number.omvormer_zolder_reductie,11.0,2026-04-08T10:56:50.467Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T10:57:00.466Z
input_number.omvormer_zolder_reductie,15.0,2026-04-08T10:57:40.454Z
input_number.omvormer_zolder_reductie,3.0,2026-04-08T10:57:50.454Z
input_number.omvormer_zolder_reductie,13.0,2026-04-08T10:58:00.454Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T10:58:10.464Z
input_number.omvormer_zolder_reductie,8.0,2026-04-08T10:58:20.454Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T10:58:30.454Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T10:58:40.472Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T10:58:50.466Z
input_number.omvormer_zolder_reductie,3.0,2026-04-08T10:59:00.454Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T10:59:10.459Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T10:59:20.455Z
input_number.omvormer_zolder_reductie,2.0,2026-04-08T10:59:40.464Z
input_number.omvormer_zolder_reductie,3.0,2026-04-08T10:59:50.464Z
input_number.omvormer_zolder_reductie,0.0,2026-04-08T11:00:30.098Z
input_number.omvormer_zolder_reductie,28.0,2026-04-08T11:01:00.093Z
input_number.omvormer_zolder_reductie,37.0,2026-04-08T11:01:30.090Z
input_number.omvormer_zolder_reductie,34.0,2026-04-08T11:02:00.090Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T11:02:30.088Z
input_number.omvormer_zolder_reductie,34.0,2026-04-08T11:03:30.092Z
input_number.omvormer_zolder_reductie,37.0,2026-04-08T11:04:00.089Z
input_number.omvormer_zolder_reductie,36.0,2026-04-08T11:04:30.089Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:05:30.092Z
input_number.omvormer_zolder_reductie,30.0,2026-04-08T11:07:30.091Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:08:00.090Z
input_number.omvormer_zolder_reductie,30.0,2026-04-08T11:09:00.090Z
input_number.omvormer_zolder_reductie,29.0,2026-04-08T11:09:30.091Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:10:00.090Z
input_number.omvormer_zolder_reductie,30.0,2026-04-08T11:11:00.098Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:13:30.090Z
input_number.omvormer_zolder_reductie,34.0,2026-04-08T11:14:00.089Z
input_number.omvormer_zolder_reductie,29.0,2026-04-08T11:15:30.090Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:16:00.094Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:17:00.092Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:17:30.374Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T11:18:00.091Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:18:30.097Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T11:19:00.089Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:19:30.091Z
input_number.omvormer_zolder_reductie,34.0,2026-04-08T11:20:30.088Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T11:21:00.089Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:21:30.088Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:23:30.101Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T11:24:00.089Z
input_number.omvormer_zolder_reductie,35.0,2026-04-08T11:24:30.102Z
input_number.omvormer_zolder_reductie,36.0,2026-04-08T11:25:30.089Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:26:00.093Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:30:00.090Z
input_number.omvormer_zolder_reductie,30.0,2026-04-08T11:30:30.097Z
input_number.omvormer_zolder_reductie,29.0,2026-04-08T11:31:00.090Z
input_number.omvormer_zolder_reductie,30.0,2026-04-08T11:32:30.099Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:35:00.089Z
input_number.omvormer_zolder_reductie,32.0,2026-04-08T11:35:30.104Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T11:37:00.101Z
input_number.omvormer_zolder_reductie,35.0,2026-04-08T11:39:30.104Z
input_number.omvormer_zolder_reductie,38.0,2026-04-08T11:40:00.092Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:44:00.093Z
input_number.omvormer_zolder_reductie,30.0,2026-04-08T11:44:30.088Z
input_number.omvormer_zolder_reductie,31.0,2026-04-08T11:55:30.106Z
input_number.omvormer_zolder_reductie,21.0,2026-04-08T12:00:30.106Z
input_number.omvormer_zolder_reductie,20.0,2026-04-08T12:01:00.089Z
input_number.omvormer_zolder_reductie,19.0,2026-04-08T12:01:30.108Z
input_number.omvormer_zolder_reductie,66.0,2026-04-08T12:05:00.099Z
input_number.omvormer_zolder_reductie,27.0,2026-04-08T12:07:30.097Z
input_number.omvormer_zolder_reductie,17.0,2026-04-08T12:08:00.093Z
input_number.omvormer_zolder_reductie,18.0,2026-04-08T12:10:30.098Z
input_number.omvormer_zolder_reductie,20.0,2026-04-08T12:25:00.108Z
input_number.omvormer_zolder_reductie,15.0,2026-04-08T12:39:30.090Z
input_number.omvormer_zolder_reductie,64.0,2026-04-08T12:54:30.097Z
input_number.omvormer_zolder_reductie,59.0,2026-04-08T12:55:30.091Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T12:56:00.093Z
input_number.omvormer_zolder_reductie,0.0,2026-04-08T12:56:30.091Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T12:57:00.089Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T13:00:00.283Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:00:10.276Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T13:00:20.280Z
input_number.omvormer_zolder_reductie,25.0,2026-04-08T13:00:30.277Z
input_number.omvormer_zolder_reductie,19.0,2026-04-08T13:00:40.276Z
input_number.omvormer_zolder_reductie,9.0,2026-04-08T13:00:50.294Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T13:01:00.282Z
input_number.omvormer_zolder_reductie,9.0,2026-04-08T13:01:10.275Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:01:30.277Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T13:01:40.278Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:02:00.292Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T13:02:20.277Z
input_number.omvormer_zolder_reductie,0.0,2026-04-08T13:02:30.283Z
input_number.omvormer_zolder_reductie,2.0,2026-04-08T13:03:40.284Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T13:03:50.277Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:04:00.276Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T13:04:20.276Z
input_number.omvormer_zolder_reductie,7.0,2026-04-08T13:04:40.275Z
input_number.omvormer_zuid_reductie,9.0,2026-04-08T10:55:00.000Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:55:00.456Z
input_number.omvormer_zuid_reductie,13.0,2026-04-08T10:55:10.455Z
input_number.omvormer_zuid_reductie,21.0,2026-04-08T10:55:20.461Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:55:30.481Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:55:40.460Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:55:50.458Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:56:00.471Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:56:10.455Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:56:20.455Z
input_number.omvormer_zuid_reductie,21.0,2026-04-08T10:56:40.471Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:56:50.471Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:57:00.470Z
input_number.omvormer_zuid_reductie,13.0,2026-04-08T10:57:10.455Z
input_number.omvormer_zuid_reductie,16.0,2026-04-08T10:57:40.455Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T10:57:50.456Z
input_number.omvormer_zuid_reductie,13.0,2026-04-08T10:58:00.455Z
input_number.omvormer_zuid_reductie,6.0,2026-04-08T10:58:10.470Z
input_number.omvormer_zuid_reductie,8.0,2026-04-08T10:58:20.455Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T10:58:30.455Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T10:58:40.478Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T10:58:50.473Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T10:59:00.456Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:59:10.460Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T10:59:20.456Z
input_number.omvormer_zuid_reductie,2.0,2026-04-08T10:59:40.469Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T10:59:50.470Z
input_number.omvormer_zuid_reductie,1.0,2026-04-08T11:00:30.099Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:01:00.096Z
input_number.omvormer_zuid_reductie,27.0,2026-04-08T11:02:00.091Z
input_number.omvormer_zuid_reductie,26.0,2026-04-08T11:02:30.089Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:03:00.091Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:03:30.093Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:05:00.089Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T11:05:30.094Z
input_number.omvormer_zuid_reductie,25.0,2026-04-08T11:06:00.095Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:06:30.092Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:07:00.094Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:08:00.091Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:09:00.091Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:09:30.094Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:10:00.091Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:10:30.166Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:11:00.101Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:11:30.095Z
input_number.omvormer_zuid_reductie,27.0,2026-04-08T11:12:00.315Z
input_number.omvormer_zuid_reductie,30.0,2026-04-08T11:12:30.093Z
input_number.omvormer_zuid_reductie,32.0,2026-04-08T11:13:30.092Z
input_number.omvormer_zuid_reductie,34.0,2026-04-08T11:14:00.090Z
input_number.omvormer_zuid_reductie,35.0,2026-04-08T11:15:00.096Z
input_number.omvormer_zuid_reductie,30.0,2026-04-08T11:15:30.092Z
input_number.omvormer_zuid_reductie,32.0,2026-04-08T11:16:00.098Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:17:00.094Z
input_number.omvormer_zuid_reductie,32.0,2026-04-08T11:17:30.375Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:18:00.095Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:18:30.100Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:19:00.090Z
